rule,count,support,confidence
"{'39', '37', '41', '48'} => {'38'}",151,0.0017127560627027518,1.0
"{'41', '37', '48'} => {'38'}",172,0.0019509539257276378,1.0
"{'170', '89', '48'} => {'38'}",140,0.00158798575349924,1.0
"{'39', '37', '32'} => {'38'}",137,0.0015539574873528277,1.0
"{'110', '39', '48', '41'} => {'38'}",346,0.00392459336221955,0.9971181556195965
"{'39', '48', '371'} => {'38'}",294,0.003334770082348404,0.9966101694915255
"{'39', '48', '105'} => {'38'}",290,0.0032893990608198545,0.9965635738831615
"{'41', '37'} => {'38'}",246,0.0027903178240058077,0.9959514170040485
"{'41', '37', '39'} => {'38'}",202,0.002291236587191761,0.9950738916256158
"{'110', '39', '48', '32'} => {'38'}",201,0.002279893831809623,0.995049504950495
"{'37', '32'} => {'38'}",185,0.0020984097456954245,0.9946236559139785
"{'48', '16431'} => {'16430'}",174,0.0019736394364919126,0.9942857142857143
"{'39', '110', '48'} => {'38'}",1031,0.011694380798983689,0.9942140790742526
"{'41', '371'} => {'38'}",171,0.0019396111703455002,0.9941860465116279
"{'41', '39', '790'} => {'38'}",153,0.0017354415734670266,0.9935064935064936
"{'39', '286', '32'} => {'38'}",143,0.0016220140196456523,0.9930555555555556
"{'39', '110', '32'} => {'38'}",284,0.0032213425285270297,0.993006993006993
"{'41', '371', '39'} => {'38'}",136,0.0015426147319706903,0.9927007299270073
"{'39', '110', '36'} => {'38'}",135,0.001531271976588553,0.9926470588235294
"{'41', '110', '39'} => {'38'}",511,0.005796148000272226,0.9922330097087378
{'16431'} => {'16430'},348,0.003947278872983825,0.9914529914529915
"{'170', '48', '39', '32'} => {'38'}",213,0.0024160068963952723,0.9906976744186047
"{'41', '110', '48'} => {'38'}",419,0.004752614505115583,0.9905437352245863
"{'170', '48', '32'} => {'38'}",305,0.003459540391551916,0.9902597402597403
"{'41', '790'} => {'38'}",202,0.002291236587191761,0.9901960784313726
"{'170', '48', '39'} => {'38'}",1193,0.013531907170889952,0.9892205638474295
"{'39', '110'} => {'38'}",1740,0.019736394364919127,0.9891984081864695
"{'48', '371'} => {'38'}",365,0.0041401057144801615,0.989159891598916
"{'110', '48', '32'} => {'38'}",264,0.002994487420884281,0.9887640449438202
"{'39', '371'} => {'38'}",526,0.005966289331004288,0.9887218045112782
"{'170', '89'} => {'38'}",169,0.0019169256595812255,0.9883040935672515
"{'170', '48'} => {'38'}",1538,0.017445157777727364,0.9877970456005138
"{'170', '110'} => {'38'}",158,0.0017921553503777137,0.9875
"{'237', '36'} => {'38'}",157,0.0017808125949955764,0.9874213836477987
"{'39', '48', '286'} => {'38'}",458,0.005194981965018943,0.9870689655172413
"{'170', '237'} => {'38'}",152,0.0017240988180848892,0.987012987012987
"{'39', '105'} => {'38'}",449,0.005092897166579706,0.9868131868131869
"{'110', '32'} => {'38'}",443,0.005024840634286881,0.9866369710467706
"{'47', '32'} => {'38'}",147,0.001667385041174202,0.9865771812080537
"{'48', '105'} => {'38'}",367,0.004162791225244437,0.9865591397849462
"{'39', '48', '840'} => {'38'}",145,0.0016446995304099273,0.9863945578231292
"{'170', '41'} => {'38'}",794,0.00900614777341712,0.986335403726708
"{'110', '48'} => {'38'}",1361,0.01543749007508904,0.986231884057971
"{'37', '48'} => {'38'}",557,0.006317914747850548,0.9858407079646018
"{'170', '48', '39', '41'} => {'38'}",413,0.004684557972822758,0.9856801909307876
"{'170', '41', '39'} => {'38'}",615,0.006975794560014519,0.9855769230769231
"{'41', '48', '790'} => {'38'}",136,0.0015426147319706903,0.9855072463768116
"{'170', '32'} => {'38'}",532,0.006034345863297112,0.9851851851851852
"{'39', '16431'} => {'16430'}",186,0.0021097525010775617,0.9841269841269841
"{'39', '37', '48'} => {'38'}",433,0.0049114130804655065,0.9840909090909091
"{'41', '110'} => {'38'}",666,0.0075542750845035275,0.983751846381093
"{'170', '41', '48'} => {'38'}",484,0.005489893604954515,0.983739837398374
"{'39', '48', '790'} => {'38'}",235,0.0026655475148022957,0.9832635983263598
"{'48', '286'} => {'38'}",581,0.006590140877021846,0.9830795262267343
"{'170', '39', '32'} => {'38'}",326,0.003697738254576802,0.9819277108433735
"{'48', '47'} => {'38'}",269,0.0030512011977949683,0.9817518248175182
"{'39', '48', '47'} => {'38'}",212,0.0024046641410131347,0.9814814814814815
"{'170', '36'} => {'38'}",210,0.00238197863024886,0.9813084112149533
"{'39', '16011'} => {'16010'}",419,0.004752614505115583,0.9812646370023419
"{'41', '48', '286'} => {'38'}",157,0.0017808125949955764,0.98125
"{'170', '41', '32'} => {'38'}",155,0.0017581270842313016,0.9810126582278481
{'371'} => {'38'},767,0.008699893378099408,0.9808184143222506
"{'48', '840'} => {'38'}",202,0.002291236587191761,0.9805825242718447
"{'170', '39'} => {'38'}",2019,0.02290102311653547,0.9805730937348227
"{'89', '36'} => {'38'}",150,0.0017014133073206144,0.9803921568627451
"{'41', '105'} => {'38'}",147,0.001667385041174202,0.98
"{'2805', '39'} => {'38'}",144,0.0016333567750277896,0.9795918367346939
"{'41', '39', '16011'} => {'16010'}",190,0.0021551235226061113,0.979381443298969
"{'39', '48', '370'} => {'38'}",142,0.0016106712642635149,0.9793103448275862
"{'170', '39', '36'} => {'38'}",140,0.00158798575349924,0.9790209790209791
{'105'} => {'38'},643,0.0072933917107143665,0.9786910197869102
"{'110', '36'} => {'38'}",182,0.002064381479549012,0.978494623655914
"{'39', '48', '16011'} => {'16010'}",269,0.0030512011977949683,0.9781818181818182
"{'39', '47'} => {'38'}",313,0.003550282434609015,0.978125
{'170'} => {'38'},3031,0.03437989156325855,0.9780574378831881
"{'39', '790'} => {'38'}",356,0.004038020916040924,0.978021978021978
"{'39', '48', '41', '16011'} => {'16010'}",133,0.001508586465824278,0.9779411764705882
"{'55', '41'} => {'38'}",171,0.0019396111703455002,0.9771428571428571
{'3904'} => {'38'},333,0.0037771375422517637,0.9765395894428153
"{'39', '840'} => {'38'}",245,0.00277897506862367,0.9760956175298805
"{'41', '39', '286'} => {'38'}",203,0.002302579342573898,0.9759615384615384
{'110'} => {'38'},2725,0.030909008416324494,0.9753042233357194
"{'39', '1831'} => {'38'}",156,0.001769469839613439,0.975
"{'48', '790'} => {'38'}",307,0.0034822259023161908,0.9746031746031746
"{'39', '3904'} => {'38'}",268,0.003039858442412831,0.9745454545454545
"{'48', '370'} => {'38'}",191,0.002166466277988249,0.9744897959183674
"{'39', '48', '36', '32'} => {'38'}",191,0.002166466277988249,0.9744897959183674
{'37'} => {'38'},1046,0.011864522129715751,0.9739292364990689
"{'39', '48', '41', '36'} => {'38'}",334,0.0037884802976339014,0.9737609329446064
{'16011'} => {'16010'},651,0.0073841337537714664,0.9730941704035875
{'47'} => {'38'},432,0.004900070325083369,0.972972972972973
"{'16011', '32'} => {'16010'}",142,0.0016106712642635149,0.9726027397260274
"{'55', '41', '39'} => {'38'}",141,0.0015993285088813775,0.9724137931034482
"{'39', '370'} => {'38'}",241,0.0027336040470951205,0.9717741935483871
"{'41', '48', '36'} => {'38'}",377,0.004276218779065811,0.9716494845360825
{'790'} => {'38'},508,0.0057621197341258135,0.97131931166348
"{'39', '286'} => {'38'}",728,0.008257525918196049,0.9706666666666667
"{'39', '1590'} => {'38'}",193,0.0021891517887525237,0.9698492462311558
"{'48', '36', '32'} => {'38'}",254,0.0028810598670629068,0.9694656488549618
"{'286', '32'} => {'38'}",222,0.002518091694834509,0.9694323144104804
{'840'} => {'38'},379,0.004298904289830085,0.969309462915601
{'1831'} => {'38'},252,0.002858374356298632,0.9692307692307692
"{'56', '39', '48'} => {'38'}",219,0.002484063428688097,0.9690265486725663
"{'55', '48', '39'} => {'38'}",243,0.0027562895578593953,0.9681274900398407
"{'48', '16011'} => {'16010'}",362,0.004106077448333749,0.9679144385026738
"{'39', '48', '36'} => {'38'}",1080,0.012250175812708423,0.967741935483871
"{'39', '37'} => {'38'}",684,0.007758444681382001,0.9674681753889675
"{'41', '16011'} => {'16010'}",236,0.0026768902701844333,0.9672131147540983
"{'65', '36'} => {'38'}",147,0.001667385041174202,0.9671052631578947
"{'56', '39'} => {'38'}",352,0.003992649894512375,0.967032967032967
"{'41', '39', '36'} => {'38'}",553,0.006272543726321998,0.9667832167832168
"{'39', '48', '3904'} => {'38'}",173,0.001962296681109775,0.9664804469273743
"{'41', '286'} => {'38'}",259,0.002937773643973594,0.9664179104477612
{'370'} => {'38'},362,0.004106077448333749,0.9653333333333334
"{'48', '3904'} => {'38'}",193,0.0021891517887525237,0.965
"{'41', '48', '16011'} => {'16010'}",159,0.0018034981057598511,0.9636363636363636
"{'48', '281'} => {'38'}",259,0.002937773643973594,0.9628252788104089
{'56'} => {'38'},514,0.005830176266418638,0.9607476635514018
"{'48', '36'} => {'38'}",1360,0.015426147319706903,0.96045197740113
{'1590'} => {'38'},281,0.0031873142623806174,0.9590443686006825
"{'41', '36'} => {'38'}",671,0.007610988861414215,0.9585714285714285
"{'36', '225'} => {'38'}",138,0.001565300242734965,0.9583333333333334
"{'105', '32'} => {'38'}",136,0.0015426147319706903,0.9577464788732394
"{'36', '32'} => {'38'}",472,0.005353780540368867,0.9554655870445344
{'2805'} => {'38'},212,0.0024046641410131347,0.954954954954955
"{'39', '36'} => {'38'}",1945,0.0220616592182573,0.9548355424644085
"{'56', '48'} => {'38'}",295,0.0033461128377305417,0.9546925566343042
{'281'} => {'38'},432,0.004900070325083369,0.9536423841059603
"{'39', '48', '281'} => {'38'}",184,0.002087066990313287,0.9533678756476683
"{'39', '3005'} => {'38'}",142,0.0016106712642635149,0.9530201342281879
"{'39', '281'} => {'38'}",274,0.0031079149747056554,0.9513888888888888
{'3005'} => {'38'},195,0.0022118372995167984,0.9512195121951219
"{'55', '48'} => {'38'}",309,0.0035049114130804655,0.9507692307692308
"{'39', '36', '32'} => {'38'}",308,0.003493568657698328,0.9506172839506173
{'36'} => {'38'},2790,0.03164628751616343,0.9502724795640327
"{'41', '39', '2958'} => {'48'}",160,0.0018148408611419885,0.9467455621301775
{'286'} => {'38'},1116,0.01265851500646537,0.9433643279797126
{'390'} => {'38'},354,0.00401533540527665,0.9414893617021277
"{'390', '48'} => {'38'}",197,0.0022345228102810736,0.9380952380952381
"{'39', '390'} => {'38'}",241,0.0027336040470951205,0.9341085271317829
