pattern,count,support
{'5465'},133,0.001508586465824278
{'5048'},133,0.001508586465824278
{'4996'},133,0.001508586465824278
{'4920'},133,0.001508586465824278
{'4056'},133,0.001508586465824278
{'3499'},133,0.001508586465824278
{'2612'},133,0.001508586465824278
{'2550'},133,0.001508586465824278
{'2477'},133,0.001508586465824278
{'779'},133,0.001508586465824278
{'518'},133,0.001508586465824278
{'478'},133,0.001508586465824278
{'6343'},134,0.0015199292212064155
{'5160'},134,0.0015199292212064155
{'4813'},134,0.0015199292212064155
{'3447'},134,0.0015199292212064155
{'3099'},134,0.0015199292212064155
{'2966'},134,0.0015199292212064155
{'2783'},134,0.0015199292212064155
{'2709'},134,0.0015199292212064155
{'2702'},134,0.0015199292212064155
{'2692'},134,0.0015199292212064155
{'2033'},134,0.0015199292212064155
{'1440'},134,0.0015199292212064155
{'1426'},134,0.0015199292212064155
{'1139'},134,0.0015199292212064155
{'1053'},134,0.0015199292212064155
{'13464'},135,0.001531271976588553
{'10526'},135,0.001531271976588553
{'10510'},135,0.001531271976588553
{'5712'},135,0.001531271976588553
{'4969'},135,0.001531271976588553
{'4164'},135,0.001531271976588553
{'3857'},135,0.001531271976588553
{'3472'},135,0.001531271976588553
{'2726'},135,0.001531271976588553
{'2049'},135,0.001531271976588553
{'1855'},135,0.001531271976588553
{'1473'},135,0.001531271976588553
{'1031'},135,0.001531271976588553
{'13300'},136,0.0015426147319706903
{'10425'},136,0.0015426147319706903
{'10017'},136,0.0015426147319706903
{'6716'},136,0.0015426147319706903
{'4911'},136,0.0015426147319706903
{'4563'},136,0.0015426147319706903
{'4267'},136,0.0015426147319706903
{'4026'},136,0.0015426147319706903
{'3793'},136,0.0015426147319706903
{'3662'},136,0.0015426147319706903
{'3174'},136,0.0015426147319706903
{'3074'},136,0.0015426147319706903
{'2715'},136,0.0015426147319706903
{'2630'},136,0.0015426147319706903
{'2119'},136,0.0015426147319706903
{'2034'},136,0.0015426147319706903
{'1755'},136,0.0015426147319706903
{'1709'},136,0.0015426147319706903
{'788'},136,0.0015426147319706903
{'435'},136,0.0015426147319706903
{'6508'},137,0.0015539574873528277
{'4896'},137,0.0015539574873528277
{'3569'},137,0.0015539574873528277
{'3483'},137,0.0015539574873528277
{'3101'},137,0.0015539574873528277
{'2808'},137,0.0015539574873528277
{'1915'},137,0.0015539574873528277
{'1561'},137,0.0015539574873528277
{'941'},137,0.0015539574873528277
{'915'},137,0.0015539574873528277
{'762'},137,0.0015539574873528277
{'12508'},138,0.001565300242734965
{'5948'},138,0.001565300242734965
{'2831'},138,0.001565300242734965
{'2661'},138,0.001565300242734965
{'2363'},138,0.001565300242734965
{'2242'},138,0.001565300242734965
{'1410'},138,0.001565300242734965
{'1353'},138,0.001565300242734965
{'348'},138,0.001565300242734965
{'284'},138,0.001565300242734965
{'4166'},139,0.0015766429981171027
{'4061'},139,0.0015766429981171027
{'2852'},139,0.0015766429981171027
{'1971'},139,0.0015766429981171027
{'1579'},139,0.0015766429981171027
{'1376'},139,0.0015766429981171027
{'1264'},139,0.0015766429981171027
{'833'},139,0.0015766429981171027
{'266'},139,0.0015766429981171027
{'10184'},140,0.00158798575349924
{'5164'},140,0.00158798575349924
{'3776'},140,0.00158798575349924
{'3487'},140,0.00158798575349924
{'2786'},140,0.00158798575349924
{'2559'},140,0.00158798575349924
{'1890'},140,0.00158798575349924
{'1570'},140,0.00158798575349924
